2020-08-24 09:32:42 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStarting | Starting MsgApplication on PC-20190301HKNA with PID 2576 (D:\java\ideaWorkingSpace\sjr\msg\target\classes started by Administrator in D:\java\ideaWorkingSpace\sjr\msg)
2020-08-24 09:32:42 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStartupProfileInfo | No active profile set, falling back to default profiles: default
2020-08-24 09:32:42 | INFO | restartedMain | org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor.logTo | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-08-24 09:32:42 | INFO | restartedMain | org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor.logTo | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-08-24 09:32:43 | INFO | restartedMain | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize | Tomcat initialized with port(s): 8888 (http)
2020-08-24 09:32:43 | INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol.log | Initializing ProtocolHandler ["http-nio-8888"]
2020-08-24 09:32:43 | INFO | restartedMain | org.apache.catalina.core.StandardService.log | Starting service [Tomcat]
2020-08-24 09:32:43 | INFO | restartedMain | org.apache.catalina.core.StandardEngine.log | Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-24 09:32:43 | INFO | restartedMain | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log | Initializing Spring embedded WebApplicationContext
2020-08-24 09:32:43 | INFO | restartedMain | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext | Root WebApplicationContext: initialization completed in 1017 ms
2020-08-24 09:32:43 | INFO | restartedMain | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.initialize | Initializing ExecutorService 'applicationTaskExecutor'
2020-08-24 09:32:43 | INFO | restartedMain | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer.startServer | LiveReload server is running on port 35729
2020-08-24 09:32:43 | INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol.log | Starting ProtocolHandler ["http-nio-8888"]
2020-08-24 09:32:43 | INFO | restartedMain | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start | Tomcat started on port(s): 8888 (http) with context path ''
2020-08-24 09:32:43 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStarted | Started MsgApplication in 1.774 seconds (JVM running for 2.49)
2020-08-24 09:40:39 | INFO | Thread-10 | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.shutdown | Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-24 09:40:40 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStarting | Starting MsgApplication on PC-20190301HKNA with PID 2576 (D:\java\ideaWorkingSpace\sjr\msg\target\classes started by Administrator in D:\java\ideaWorkingSpace\sjr\msg)
2020-08-24 09:40:40 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStartupProfileInfo | No active profile set, falling back to default profiles: default
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize | Tomcat initialized with port(s): 8888 (http)
2020-08-24 09:40:40 | INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol.log | Initializing ProtocolHandler ["http-nio-8888"]
2020-08-24 09:40:40 | INFO | restartedMain | org.apache.catalina.core.StandardService.log | Starting service [Tomcat]
2020-08-24 09:40:40 | INFO | restartedMain | org.apache.catalina.core.StandardEngine.log | Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-24 09:40:40 | INFO | restartedMain | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/].log | Initializing Spring embedded WebApplicationContext
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext | Root WebApplicationContext: initialization completed in 208 ms
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.initialize | Initializing ExecutorService 'applicationTaskExecutor'
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer.startServer | LiveReload server is running on port 35729
2020-08-24 09:40:40 | INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol.log | Starting ProtocolHandler ["http-nio-8888"]
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start | Tomcat started on port(s): 8888 (http) with context path ''
2020-08-24 09:40:40 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStarted | Started MsgApplication in 0.313 seconds (JVM running for 479.175)
2020-08-24 09:40:40 | INFO | restartedMain | org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener.onApplicationEvent | Condition evaluation unchanged
2020-08-24 09:40:42 | INFO | Thread-17 | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.shutdown | Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-24 09:40:42 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStarting | Starting MsgApplication on PC-20190301HKNA with PID 2576 (D:\java\ideaWorkingSpace\sjr\msg\target\classes started by Administrator in D:\java\ideaWorkingSpace\sjr\msg)
2020-08-24 09:40:42 | INFO | restartedMain | com.sjr.msg.MsgApplication.logStartupProfileInfo | No active profile set, falling back to default profiles: default
2020-08-24 09:40:42 | INFO | restartedMain | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize | Tomcat initialized with port(s): 8888 (http)
